,Code,Year,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate),Prevalence - Substance use disorders - Sex: Both - Age: Age-standardized (Percent),$1.90 per day - share of population below poverty line,Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: Age-standardized (Percent),Prevalence of undernourishment (% of population),"Primary completion rate, total (% of relevant age group)",Human rights protection,GDP per capita (constant 2010 US$)
58,MUS,2012,8.429890642268338,1.90516734519195,0.5545372,5.85635009062353,5.7,95.622673034668,1.27045756196711,8580.08564924831
59,MEX,2012,5.436681587139951,1.95423044593156,3.839893,7.34039077420598,4.3,106.011009216309,-1.12136202692824,9690.86898189802
60,MNE,2012,15.147368319594742,2.59335906484054,1.264296,11.76370972129527,2.5,99.5978927612305,1.54893753877839,6703.65760332829
61,MAR,2012,8.430045920391239,0.89311125749485,1.101569,11.87070458009847,4.9,98.0196304321289,0.0864099946210427,2995.45235738661
62,MOZ,2012,16.87801229869358,1.91726315895582,65.46452000000001,12.05755588217506,21.1,52.044059753418,-0.0460080009142267,514.592024400883
63,NAM,2012,13.506332754382122,2.86523630404932,17.55797,10.37656446439554,24.0,90.4427032470703,1.20059258092329,5750.66147101539
64,NPL,2012,13.200937880773312,1.55943972924672,8.456313999999999,23.73309094290688,7.1,104.314056396484,-0.129228707200857,640.435685009658
65,NOR,2012,9.86177503549987,2.65177006844911,0.1173068,1.65471383745195,2.5,99.7610626220703,4.19473165443333,88604.5746477835
66,PAK,2012,9.000346289212336,1.9162515037547696,7.086391000000001,17.492465808464218,17.7,63.4862098693848,-1.52517092032833,1006.08054088811
67,PAN,2012,5.357943202743929,2.27515013537539,4.122859,5.39318628114805,9.2,100.635452270508,1.47739322188856,9541.0012297732
68,PRY,2012,5.603535169750178,3.26812157334178,3.174785,8.67318626948967,7.9,88.03662109375,0.663950171117627,4392.14041464789
69,PER,2012,3.369945787360922,1.83855678054309,4.8106230000000005,8.59618976802879,5.9,94.7825927734375,0.224587141973579,5642.57773269561
70,POL,2012,15.996909828188167,4.01851861251007,0.0191032,8.60239735690898,2.5,94.6511306762695,1.82998358500473,13380.9866049611
71,ROU,2012,9.903857081030406,2.5267196391108,0.0,7.4842113362813505,2.5,97.3431777954102,1.08386287495159,8621.87296118849
72,RUS,2012,27.4752515684442,4.48494555113642,0.03408303,5.61241840799033,2.5,97.7176895141602,-1.15626154787927,11553.5764196495
73,RWA,2012,9.680595189113106,3.5395426437529096,60.53842,14.89093892615416,22.2,71.1614303588867,0.0076053710190026,680.538100467947
74,WSM,2012,13.694605703825442,1.64143991939489,1.062384,15.25598702083939,2.6,106.244262695313,2.58246148516757,3504.12454225867
75,SEN,2012,12.158454983560938,0.78140338450785,37.93806,14.23420886121095,9.2,60.1409111022949,0.413586312166764,1267.74699610972
76,SRB,2012,14.30307641546185,2.53605113092019,5.340191,12.07755518997804,2.7,98.0101623535156,1.43958224419907,5886.89461767324
77,SLE,2012,10.296173333053035,0.8304161791524999,41.43105,15.28856990170244,34.6,64.1604232788086,0.677123927839211,470.301054308203
78,SVK,2012,11.43998226985739,3.08794483296574,0.3130284,7.22955781081959,3.5,93.188232421875,2.01898098356257,17502.0642069709
79,SVN,2012,15.75780380326582,3.41011186605642,0.02625445,4.9739928609511,2.5,101.97225189209,3.26146050896363,22989.9297131691
80,SLB,2012,25.77959813163564,1.37871958615642,26.89311,22.81138324419941,11.7,85.0746307373047,3.97032180090899,1663.97021272438
81,KOR,2012,24.64455825553201,4.021531139365099,0.2492806,6.422691976431059,2.5,109.699768066406,1.75664297401797,24197.9413704675
82,ESP,2012,5.901969467991411,3.3282330780537204,0.9489588,3.1815513093584604,2.5,99.3201065063477,1.82733811764198,29235.8286869685
83,LKA,2012,19.62563448245546,1.4901805664747,2.119701,11.83900970335307,8.9,97.2562789916992,-1.15001546074446,3286.0075942939
84,SDN,2012,6.31977785183218,0.7197175002566101,11.63736,16.864776049044462,19.9,57.5498313903809,-1.74959155873337,1825.57805916639
85,SUR,2012,24.20852109792458,2.38017322069499,17.822969999999994,7.71227825014773,8.3,86.7471084594727,1.47883493247486,8772.92880378442
